id,lastpage,randnumber,friedlichgerecht,friedlichgewalt,blockieren1gerecht,blockieren1gewalt,blockieren2gerecht,blockieren2gewalt,gewalt1gerecht,gewalt1gewalt,gewalt2gerecht,gewalt2gewalt,kontrollfrage,alter,geschlecht,bildung,partei,parteiother,politischeaktiv1,politischeaktiv2,politischeaktiv3,politischeaktiv4,politischeaktiv5,politischeaktiv6,polizei1,umweltschutz1
1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
2,-1,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,2,,,Y,N,,,,,,,2,65,2,4,3,,Y,,,,Y,,4,4
4,22,1,N,N,,,,,,,,,2,35,1,4,-oth-,Keine,,,,,Y,,4,5
5,22,5,,,,,,,,,Y,N,2,34,2,6,7,,Y,,,,,,3,5
6,22,5,,,,,,,,,N,Y,2,51,2,4,2,,Y,,,,,,4,4
7,4,1,,,,,,,,,,,,,,,,,,,,,,,,
8,22,4,,,,,,,Y,N,,,2,59,1,6,-oth-,PdF,Y,,,,Y,,3,4
9,22,2,,,Y,N,,,,,,,2,55,2,6,1,,Y,,,,,,3,5
10,22,2,,,Y,N,,,,,,,2,44,2,6,3,,Y,,,,Y,,5,4
11,22,2,,,Y,N,,,,,,,2,72,1,6,7,,Y,,,,,,4,4
12,22,2,,,N,Y,,,,,,,2,55,2,6,2,,Y,,,,,,5,5
13,-1,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,1,Y,N,,,,,,,,,2,58,2,7,2,,Y,,,,,,5,4
15,22,3,,,,,Y,N,,,,,2,67,2,5,6,,Y,,,,,,4,5
16,22,1,Y,N,,,,,,,,,2,20,2,6,1,,Y,,,,,,5,4
17,12,5,,,,,,,,,,,,,,,,,,,,,,,,
18,22,2,,,N,Y,,,,,,,2,31,1,5,-oth-,Die Partei,Y,,,,,,3,2
19,22,5,,,,,,,,,Y,Y,2,49,1,10,2,,Y,,,,,,5,3
20,22,1,N,Y,,,,,,,,,2,63,1,5,1,,,,,,Y,,5,2
21,22,1,Y,N,,,,,,,,,2,63,1,3,8,,,,,,Y,,3,1
22,22,2,,,Y,N,,,,,,,2,55,1,6,7,,Y,,,,,,4,4
23,10,4,,,,,,,,,,,,,,,,,,,,,,,,
24,22,3,,,,,N,Y,,,,,2,68,2,6,3,,Y,,,,,,4,5
25,22,1,Y,N,,,,,,,,,2,70,2,6,7,,Y,,,,,,4,4
26,9,3,,,,,Y,,,,,,,,,,,,,,,,,,,
27,22,4,,,,,,,N,Y,,,2,42,2,6,8,,Y,Y,,,,,5,3
28,22,1,N,N,,,,,,,,,2,67,1,7,3,,Y,,,,,,4,5
29,22,4,,,,,,,Y,N,,,2,44,1,6,8,,,,,,,Y,3,3
30,22,5,,,,,,,,,N,Y,2,55,1,6,1,,Y,,,,,,4,5
31,15,4,,,,,,,Y,Y,,,1,,,,,,,,,,,,,
32,22,3,,,,,N,N,,,,,2,54,1,5,5,,Y,,,,Y,,3,3
33,22,1,Y,Y,,,,,,,,,2,68,1,6,2,,Y,,,,,,4,1
34,22,4,,,,,,,Y,N,,,2,64,1,3,8,,Y,,,,,,3,4
35,22,5,,,,,,,,,Y,Y,2,48,2,4,8,,,,,,Y,,5,4
36,22,5,,,,,,,,,N,Y,2,25,2,6,8,,,,,,Y,,3,2
37,22,4,,,,,,,Y,N,,,2,31,1,5,5,,Y,Y,,,,,4,3
38,2,,,,,,,,,,,,,,,,,,,,,,,,,
39,22,3,,,,,N,N,,,,,2,55,1,6,2,,Y,,,,,,4,5
40,22,2,,,N,N,,,,,,,2,68,1,8,-oth-,die partei,Y,,,Y,,,4,3
41,22,5,,,,,,,,,N,Y,2,48,2,5,4,,Y,,,,,,4,4
42,22,2,,,Y,N,,,,,,,2,58,2,5,2,,Y,,,,,,5,5
43,22,3,,,,,Y,N,,,,,2,32,1,7,8,,,,,,,Y,3,3
44,22,5,,,,,,,,,N,Y,2,69,2,5,2,,Y,,,,Y,,4,5
45,22,2,,,Y,Y,,,,,,,2,49,2,4,3,,,Y,,,,,3,3
46,22,1,Y,N,,,,,,,,,2,40,2,6,-oth-,ÃDP,Y,,,,,,4,5
47,22,3,,,,,N,Y,,,,,2,56,2,8,8,,Y,Y,,,,,4,3
48,22,2,,,Y,N,,,,,,,2,55,2,9,-oth-,BÃ¼ndnis Sarah Wagenkbecht,Y,,Y,,,,3,4
49,22,2,,,Y,N,,,,,,,2,71,1,8,3,,Y,Y,,Y,,,3,5
50,2,,,,,,,,,,,,,,,,,,,,,,,,,
51,22,5,,,,,,,,,N,N,2,51,2,5,2,,,,,,Y,,4,2
52,22,1,N,Y,,,,,,,,,2,42,1,8,2,,Y,Y,Y,,,,4,5
53,-1,,,,,,,,,,,,,,,,,,,,,,,,,
54,22,4,,,,,,,Y,N,,,2,57,2,5,7,,,,,,Y,,3,4
55,22,4,,,,,,,Y,Y,,,2,38,1,7,6,,Y,,,,,,4,4
56,22,4,,,,,,,Y,N,,,2,59,1,8,2,,,Y,,,,,4,4
57,22,4,,,,,,,Y,N,,,2,35,1,8,2,,Y,,,,Y,,3,4
58,22,4,,,,,,,N,Y,,,2,45,1,8,4,,Y,,,,,,5,4
59,15,4,,,,,,,Y,Y,,,1,,,,,,,,,,,,,
60,22,4,,,,,,,Y,Y,,,2,60,2,5,2,,Y,,,,,,4,4
61,22,3,,,,,N,Y,,,,,2,71,1,8,7,,Y,,,,Y,,5,5
62,22,4,,,,,,,N,Y,,,2,55,2,7,5,,Y,,,,,,5,4
63,22,2,,,Y,N,,,,,,,2,34,1,7,3,,Y,,,,,,3,5
64,22,2,,,Y,N,,,,,,,2,27,2,5,-oth-,Humanisten ,Y,,,,,,5,4
65,22,3,,,,,N,Y,,,,,2,55,1,5,1,,Y,,,,,,5,2
66,22,1,Y,Y,,,,,,,,,2,53,1,5,2,,Y,,,,,,3,4
67,22,1,N,Y,,,,,,,,,2,66,1,7,-oth-,Freie WÃ¤hler,Y,,,,Y,,3,3
68,22,3,,,,,N,Y,,,,,2,63,2,6,4,,,,,,Y,,4,4
69,-1,,,,,,,,,,,,,,,,,,,,,,,,,
70,22,4,,,,,,,Y,N,,,2,44,1,8,2,,Y,,,,,,5,1
71,22,3,,,,,N,Y,,,,,2,44,2,5,7,,Y,,,,,,4,3
72,15,2,,,Y,Y,,,,,,,1,,,,,,,,,,,,,
73,22,4,,,,,,,Y,N,,,2,53,1,6,-oth-,Volt,Y,Y,Y,,,,3,4
74,22,3,,,,,N,Y,,,,,2,72,1,8,3,,Y,,,Y,,,3,5
75,22,3,,,,,Y,N,,,,,2,67,2,5,2,,,,,,Y,,5,4
76,22,5,,,,,,,,,N,Y,2,39,1,7,2,,Y,,,,,,5,3
77,22,5,,,,,,,,,N,Y,2,37,1,7,2,,Y,,,,,,3,4
78,22,2,,,Y,N,,,,,,,2,39,2,6,2,,Y,,,,,,5,5
79,22,3,,,,,N,Y,,,,,2,45,2,5,2,,Y,,,,Y,,5,5
80,22,4,,,,,,,N,Y,,,2,71,1,7,7,,Y,,,,,,4,5
81,22,4,,,,,,,Y,N,,,2,44,1,8,1,,Y,,,,,,2,5
82,22,3,,,,,Y,Y,,,,,2,51,1,3,-oth-,keine,,,,,Y,,3,5
83,22,4,,,,,,,Y,N,,,2,51,2,6,-oth-,Letzte Generation ,Y,Y,Y,,,,3,5
84,22,3,,,,,Y,Y,,,,,2,69,2,6,-oth-,Freie WÃ¤hler ,Y,,,,,,5,2
85,22,4,,,,,,,Y,N,,,2,63,2,4,1,,Y,Y,,Y,,,5,5
86,-1,,,,,,,,,,,,,,,,,,,,,,,,,
87,-1,,,,,,,,,,,,,,,,,,,,,,,,,
88,22,3,,,,,Y,N,,,,,2,33,2,7,-oth-,Die Partei,Y,Y,,,,,3,4
89,22,2,,,Y,Y,,,,,,,2,25,1,6,2,,Y,,,,,,5,3
90,22,4,,,,,,,N,N,,,2,56,1,7,2,,Y,,,,,,5,5
91,22,2,,,Y,Y,,,,,,,2,33,1,8,2,,Y,,,,,,4,3
92,22,2,,,Y,Y,,,,,,,2,66,2,5,7,,,,,,Y,,4,5
93,22,3,,,,,Y,N,,,,,2,38,1,4,7,,,,,,Y,,5,5
94,22,4,,,,,,,Y,N,,,2,64,2,5,1,,Y,,,,,,4,4
95,22,3,,,,,N,Y,,,,,2,28,2,5,5,,Y,,,,,,5,3
96,22,3,,,,,Y,N,,,,,2,53,1,6,8,,Y,,,,,,3,4
97,15,4,,,,,,,Y,N,,,1,,,,,,,,,,,,,
98,22,3,,,,,Y,N,,,,,2,50,2,5,8,,Y,,,,,,5,5
99,22,1,Y,N,,,,,,,,,2,57,1,5,-oth-,Tierschutzpartei,Y,,,,Y,,5,4
100,22,5,,,,,,,,,N,Y,2,39,2,7,8,,Y,,,,,,3,4
101,22,3,,,,,N,Y,,,,,2,44,1,4,2,,Y,,,,,,4,4
102,22,2,,,Y,N,,,,,,,2,57,2,8,3,,,,,,Y,,4,5
103,15,5,,,,,,,,,Y,Y,1,,,,,,,,,,,,,
104,22,5,,,,,,,,,N,Y,2,56,2,8,3,,Y,,,,,,3,4
105,22,4,,,,,,,Y,Y,,,2,47,2,5,8,,,,,,Y,,4,4
106,22,3,,,,,Y,Y,,,,,2,56,1,8,7,,Y,Y,,Y,,,4,5
107,22,1,N,Y,,,,,,,,,2,74,1,5,2,,,,,,Y,,5,3
108,22,5,,,,,,,,,N,Y,2,55,2,5,2,,Y,,,,,,5,5
109,22,2,,,Y,N,,,,,,,2,70,2,4,2,,Y,,,,,,4,5
110,22,1,N,N,,,,,,,,,2,55,1,8,2,,Y,,,,,,5,5
111,22,4,,,,,,,Y,Y,,,2,24,2,6,1,,Y,,,,,,3,2
112,22,5,,,,,,,,,N,Y,2,42,2,5,4,,Y,,,,Y,,5,1
113,22,3,,,,,N,Y,,,,,2,64,1,7,2,,Y,,,,,,5,3
114,22,3,,,,,N,Y,,,,,2,58,1,8,-oth-,Piraten,,,,,Y,,4,4
115,22,4,,,,,,,N,N,,,2,38,1,7,2,,Y,,,,,,5,1
116,22,1,N,N,,,,,,,,,2,40,1,4,8,,,,,,Y,,4,4
117,22,4,,,,,,,N,N,,,2,47,1,10,4,,Y,,,,,,3,4
118,22,1,Y,N,,,,,,,,,2,43,2,5,2,,Y,,,,,,4,4
119,22,5,,,,,,,,,N,N,2,50,2,4,5,,,,,,Y,,5,5
120,15,2,,,Y,Y,,,,,,,1,,,,,,,,,,,,,
121,10,4,,,,,,,,,,,,,,,,,,,,,,,,
122,22,2,,,Y,N,,,,,,,2,72,2,4,8,,Y,,,,,,4,4
123,22,4,,,,,,,N,N,,,2,37,2,7,4,,Y,,,,,,5,3
124,22,5,,,,,,,,,N,Y,2,63,1,5,1,,Y,,,,,,5,5
125,,,,,,,,,,,,,,,,,,,,,,,,,,
126,22,3,,,,,N,Y,,,,,2,26,2,7,1,,Y,Y,,Y,,,4,4
127,22,5,,,,,,,,,N,Y,2,32,2,5,2,,Y,,,,,,5,3
128,22,5,,,,,,,,,N,Y,2,61,2,8,2,,Y,Y,,,,,4,4
129,9,3,,,,,Y,,,,,,,,,,,,,,,,,,,
130,22,5,,,,,,,,,N,N,2,59,1,5,5,,,,,,Y,,5,3
131,22,4,,,,,,,N,N,,,2,50,1,5,2,,Y,,,,,,4,4
132,22,1,Y,N,,,,,,,,,2,32,1,6,2,,,,,,Y,,4,4
133,22,3,,,,,N,Y,,,,,2,44,1,8,3,,Y,Y,,,,,3,4
134,22,2,,,Y,N,,,,,,,2,59,2,5,8,,,,,,Y,,3,4
135,22,5,,,,,,,,,N,Y,2,68,2,6,8,,,,,,,Y,2,5
136,22,1,N,Y,,,,,,,,,2,55,1,6,3,,Y,,,,Y,,3,4
137,22,2,,,Y,N,,,,,,,2,73,2,7,1,,Y,,,,,,4,4
138,22,4,,,,,,,N,N,,,2,66,1,6,1,,Y,Y,Y,,,,5,4
139,22,1,Y,N,,,,,,,,,2,73,2,5,8,,Y,,,,Y,,5,5
140,22,1,Y,N,,,,,,,,,2,35,2,7,5,,Y,Y,,,,,4,3
141,22,3,,,,,Y,Y,,,,,2,60,2,4,8,,,,,,Y,,5,5
142,-1,,,,,,,,,,,,,,,,,,,,,,,,,
143,22,4,,,,,,,Y,N,,,2,55,1,8,2,,Y,,,,Y,,4,5
144,15,5,,,,,,,,,N,N,1,,,,,,,,,,,,,
145,22,2,,,Y,N,,,,,,,2,67,2,4,7,,,,,,Y,,3,5
146,22,5,,,,,,,,,Y,N,2,38,1,6,6,,Y,,,,Y,,2,5
147,22,2,,,N,Y,,,,,,,2,68,2,8,7,,Y,,,,Y,,5,5
148,22,4,,,,,,,Y,N,,,2,60,2,6,5,,Y,,,,,,4,4
149,-1,,,,,,,,,,,,,,,,,,,,,,,,,
150,-1,,,,,,,,,,,,,,,,,,,,,,,,,
151,22,4,,,,,,,Y,N,,,2,42,2,7,4,,Y,,,,,,4,4
152,22,1,N,Y,,,,,,,,,2,53,1,5,2,,Y,,,,,,4,4
153,22,1,Y,Y,,,,,,,,,2,60,1,5,1,,Y,,,,,,3,3
154,22,1,Y,N,,,,,,,,,2,34,2,5,2,,Y,,,,,,5,5
155,22,3,,,,,Y,N,,,,,2,62,2,3,6,,,,,,Y,,5,4
156,22,4,,,,,,,Y,N,,,2,59,2,6,7,,Y,,,,,,3,3
157,22,4,,,,,,,Y,N,,,2,36,1,7,4,,Y,,,,,,4,4
158,15,5,,,,,,,,,N,Y,3,,,,,,,,,,,,,
159,22,3,,,,,N,N,,,,,2,61,1,5,5,,Y,Y,,Y,,,4,5
160,22,1,Y,N,,,,,,,,,2,61,1,5,1,,Y,,,,,,4,5
161,22,2,,,Y,N,,,,,,,2,35,1,7,3,,Y,Y,,,,,3,3
162,22,2,,,Y,N,,,,,,,2,30,2,8,3,,Y,Y,,,,,5,5
163,22,4,,,,,,,Y,N,,,2,67,2,6,2,,,,,,,Y,5,3
164,,,,,,,,,,,,,,,,,,,,,,,,,,
165,22,5,,,,,,,,,N,N,2,52,1,6,4,,Y,,,,,,5,5
166,22,2,,,N,N,,,,,,,2,57,1,9,2,,Y,,,,,,4,4
167,2,,,,,,,,,,,,,,,,,,,,,,,,,
168,22,2,,,Y,N,,,,,,,2,71,2,5,-oth-,unparteiisch,,,,,Y,,3,5
169,22,2,,,Y,Y,,,,,,,2,69,1,9,2,,Y,,,,Y,,5,4
